Short Name,Long Name,Units,GSN Name
,,,
Height,wind veolcity height,m,land_surface_wind__speed_reference_height
,,,
IsFactor,Interception Storage Factor,m,land_vegetation_canopy_water__interception_storage_factor
,,,
LAI,Leaf Ara Index,m2/m2,land_vegetation__leaf-area_index
,,,
MF,Melt factor,,snow-or-ice__melt_factor
,,,
PRCP,Precipitation,m/day,atmosphere_water__precipitation_leq_volume_flux
,,,
RH,Relative Humidity,percentage / 100,atmosphere_air_water~vapor__relative_saturation
,,,
RL,Roughness length,m,atmosphere_bottom_air_flow__log-law_roughness_length
,,,
Ner Radiaiton,Ner Radiaiton,MJ/m2/day,land_surface_radiation~net~total__energy_flux
,,,
SS,Source/Sink,m3/day,water~incoming-and-outgoing__volume_flow_rate
,,,
Time,Time,day,model_simulation__time
,,,
TRMP,Temperature,C,land_surface_air__temperature
,,,
VP,Vapor  pressure,Pa,atmosphere_bottom_air_water~vapor__partial_pressure
,,,
WINF,wind speed,m/day,land_surface_wind__speed
